iter	RMSE
0	5.554996839
1	5.492415544
2	5.445503964
3	5.402817892
4	5.342313392
5	5.305700439
6	5.267645474
7	5.22441548
8	5.168318891
9	5.104972593
10	5.072472412
11	5.015420287
12	4.975962305
13	4.91807826
14	4.899029207
15	4.86751707
16	4.825269744
17	4.770999521
18	4.744434024
19	4.710116382
20	4.679822993
21	4.649710165
22	4.623219918
23	4.573903005
24	4.523162689
25	4.483109891
26	4.434002104
27	4.410214626
28	4.391962455
29	4.353694669
30	4.308771047
31	4.263489215
32	4.220080838
33	4.180332975
34	4.151983089
35	4.119531965
36	4.087147354
37	4.047021478
38	4.010526043
39	3.991425505
40	3.967991536
41	3.943356993
42	3.915372271
43	3.884188627
44	3.84470172
45	3.821821626
46	3.779368028
47	3.762916016
48	3.741038306
49	3.724101416
50	3.688822957
51	3.6487223
52	3.607079584
53	3.58179053
54	3.548550541
55	3.514333038
56	3.484618025
57	3.4649295
58	3.438102857
59	3.417373967
60	3.399479956
61	3.367150296
62	3.334612422
63	3.315458934
64	3.285508223
65	3.272139864
66	3.241976156
67	3.211335254
68	3.193135361
69	3.176028946
70	3.156297378
71	3.118748065
72	3.099869188
73	3.085027057
74	3.056132427
75	3.034544598
76	3.012665899
77	2.982967472
78	2.955634103
79	2.931005791
80	2.906876713
81	2.888076027
82	2.876213862
83	2.858962096
84	2.837873034
85	2.821009161
86	2.809508593
87	2.785581705
88	2.775891771
89	2.752982482
90	2.739421004
91	2.724240378
92	2.708312797
93	2.693958666
94	2.667806498
95	2.643959464
96	2.626347721
97	2.613262482
98	2.589969485
99	2.569546958
100	2.550184986
101	2.536600558
102	2.520636522
103	2.502789015
104	2.489642747
105	2.470868493
106	2.454276667
107	2.434799729
108	2.420951076
109	2.407932989
110	2.388048454
111	2.372646719
112	2.353485854
113	2.332991063
114	2.318257059
115	2.305483464
116	2.292785145
117	2.281396808
118	2.26715042
119	2.247871313
120	2.239108209
121	2.222372425
122	2.20945787
123	2.199431672
124	2.183653144
125	2.172876264
126	2.158931225
127	2.147542148
